"episode_id","filename","title","notes"
"s02e34","GMT20251223-022554_Recording.transcript.vtt",NA,"confirmed"
"s02e35","GMT20260113-021548_Recording.transcript.vtt",NA,"confirmed"
"s02e36","GMT20260127-021626_Recording.transcript.vtt",NA,"confirmed"
"s02e37","GMT20260210-021158_Recording.transcript.vtt",NA,"confirmed"
"s02e38","GMT20260310-011419_Recording.transcript.vtt",NA,"confirmed"
"s02e39","GMT20260324-011605_Recording.transcript.vtt",NA,"confirmed"
"s02e40","GMT20260407-012918_Recording.transcript.vtt",NA,"confirmed"
"s02e41","GMT20260414-012029_Recording.transcript.vtt",NA,"confirmed"
"s02e42","GMT20260505-011627_Recording.transcript.vtt",NA,"confirmed"
